PFAF_ID_07,status_T600,review_priority,review_class,review_decision,review_note,reviewer,review_date
2276404,invalid_other,0,T600_invalid,,,,
2279402,invalid_other,0,T600_invalid,,,,
2327066,invalid_other,0,T600_invalid,,,,
2410003,invalid_multi_outlet,0,T600_invalid,,,,
2410039,invalid_multi_outlet,0,T600_invalid,,,,
2429000,invalid_multi_outlet,0,T600_invalid,,,,
2429507,invalid_multi_outlet,0,T600_invalid,,,,
2435109,invalid_multi_outlet,0,T600_invalid,,,,
2443300,invalid_multi_outlet,0,T600_invalid,,,,
2445090,invalid_multi_outlet,0,T600_invalid,,,,
2447300,invalid_multi_outlet,0,T600_invalid,,,,
2449000,invalid_multi_outlet,0,T600_invalid,,,,
2510300,invalid_multi_outlet,0,T600_invalid,,,,
2510500,invalid_multi_outlet,0,T600_invalid,,,,
2510757,invalid_multi_outlet,0,T600_invalid,,,,
2510759,invalid_multi_outlet,0,T600_invalid,,,,
2510799,invalid_multi_outlet,0,T600_invalid,,,,
2510970,invalid_multi_outlet,0,T600_invalid,,,,
2510997,invalid_multi_outlet,0,T600_invalid,,,,
2510999,invalid_multi_outlet,0,T600_invalid,,,,
2521051,invalid_multi_outlet,0,T600_invalid,,,,
2521070,invalid_multi_outlet,0,T600_invalid,,,,
2615030,invalid_multi_outlet,0,T600_invalid,,,,
2710350,invalid_multi_outlet,0,T600_invalid,,,,
2710510,invalid_multi_outlet,0,T600_invalid,,,,
2710550,invalid_multi_outlet,0,T600_invalid,,,,
2710570,invalid_multi_outlet,0,T600_invalid,,,,
2710590,invalid_multi_outlet,0,T600_invalid,,,,
2832444,invalid_other,0,T600_invalid,,,,
2837040,invalid_one_sided,0,T600_invalid,,,,
2847007,invalid_multi_outlet,0,T600_invalid,,,,
4120011,invalid_multi_outlet,0,T600_invalid,,,,
4120013,invalid_multi_outlet,0,T600_invalid,,,,
4120015,invalid_multi_outlet,0,T600_invalid,,,,
4120019,invalid_multi_outlet,0,T600_invalid,,,,
4130139,invalid_multi_outlet,0,T600_invalid,,,,
7122470,invalid_one_sided,0,T600_invalid,,,,
7124001,invalid_multi_outlet,0,T600_invalid,,,,
7124007,invalid_multi_outlet,0,T600_invalid,,,,
7124200,invalid_multi_outlet,0,T600_invalid,,,,
7138300,invalid_one_sided,0,T600_invalid,,,,
7230100,invalid_multi_outlet,0,T600_invalid,,,,
7230303,invalid_multi_outlet,0,T600_invalid,,,,
